loan_amount,annual_income,credit_history_length,num_open_credit,debt_to_income_ratio,employment_length,purpose,target
16795,124185,3,8,0.98,27,home_improvement,0
1860,43049,18,7,0.69,1,major_purchase,0
39158,99605,19,1,0.28,10,home_improvement,0
45732,118116,19,8,0.71,9,home_improvement,0
12284,117379,21,6,0.16,14,major_purchase,0
7265,88385,5,8,0.13,16,major_purchase,1
17850,146131,18,5,0.33,7,home_improvement,0
38194,60158,10,5,0.52,17,major_purchase,1
22962,85417,22,3,0.88,22,home_improvement,1
48191,43289,21,9,0.75,8,small_business,1
45131,130226,6,9,0.77,24,major_purchase,0
17023,120793,1,1,0.48,7,small_business,0
42090,29823,5,6,0.41,26,debt_consolidation,0
2685,80160,9,4,0.43,13,small_business,0
1769,61975,12,5,0.99,27,small_business,0
3433,29540,14,1,0.14,25,home_improvement,1
6311,36364,2,4,0.88,24,small_business,1
38819,24611,17,9,0.62,17,major_purchase,0
40188,47663,14,3,0.49,21,home_improvement,0
18568,71991,13,8,0.75,19,debt_consolidation,1
20769,77679,9,5,0.54,29,major_purchase,0
29693,124182,15,1,0.89,19,debt_consolidation,0
7396,50977,22,0,0.91,20,small_business,1
28480,114704,15,4,0.48,11,major_purchase,0
42434,69115,24,8,0.35,18,major_purchase,0
26658,111007,11,5,0.63,13,debt_consolidation,0
19942,108223,16,9,0.92,16,major_purchase,1
19431,80890,17,6,0.29,23,major_purchase,0
3747,86387,4,4,0.66,20,major_purchase,0
1189,38071,1,9,0.67,2,small_business,0
20118,79275,8,5,0.76,25,debt_consolidation,0
36773,92369,17,4,0.22,29,major_purchase,0
2899,31938,3,8,0.74,22,home_improvement,1
2267,55195,20,5,0.92,6,home_improvement,0
32551,111680,15,7,0.26,16,home_improvement,1
12394,24000,15,1,0.31,11,home_improvement,0
4556,90588,24,8,0.97,8,small_business,0
4890,121042,22,4,0.26,14,major_purchase,0
42606,113610,14,6,0.87,17,debt_consolidation,0
31740,140420,23,9,0.54,20,major_purchase,0
15502,123691,14,0,0.32,12,small_business,0
22777,126306,24,9,0.88,29,home_improvement,0
11627,117856,2,4,0.5,20,small_business,0
9792,58304,13,9,0.56,29,major_purchase,0
44323,131783,14,1,0.42,7,debt_consolidation,1
44021,89449,24,5,0.63,13,small_business,1
9433,102986,19,0,0.25,7,debt_consolidation,0
44001,109643,7,2,0.45,13,small_business,0
12016,40764,3,4,0.97,6,debt_consolidation,0
24897,128940,15,3,0.33,22,debt_consolidation,0
3612,106027,23,2,0.69,11,home_improvement,0
